Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2014/10/3,24.86000061,25.05249977,24.76000023,24.90500069,22.0890274,173878400,0,0
2014/10/6,24.98749924,25.16250038,24.85499954,24.90500069,22.0890274,148204800,0,0
2014/10/7,24.85750008,25.03000069,24.68250084,24.6875,21.89612389,168376800,0,0
2014/10/8,24.69000053,25.27750015,24.57749939,25.20000076,22.35067177,229618800,0,0
2014/10/9,25.38500023,25.59499931,25.15250015,25.25499916,22.39945412,309506000,0,0
2014/10/10,25.17250061,25.50749969,25.07500076,25.18250084,22.33514977,265326400,0,0
2014/10/13,25.33250046,25.44499969,24.95249939,24.95249939,22.13116264,214333600,0,0
2014/10/14,25.09749985,25.12999916,24.64249992,24.6875,21.89612389,254754400,0,0
2014/10/15,24.49250031,24.78750038,23.79500008,24.38500023,21.62782478,403734400,0,0
2014/10/16,23.88750076,24.43000031,23.85250092,24.06500053,21.34400558,288618000,0,0
2014/10/17,24.375,24.75,24.20249939,24.41749954,21.65664864,272718800,0,0
2014/10/20,24.57999992,24.98999977,24.55500031,24.94000053,22.12007141,310069200,0,0
2014/10/21,25.75499916,25.75499916,25.31749916,25.61750031,22.72096252,378495600,0,0
2014/10/22,25.70999908,26.02750015,25.64999962,25.74749947,22.83626938,273052400,0,0
2014/10/23,26.02000046,26.26250076,25.90749931,26.20750046,23.24425507,284298800,0,0
2014/10/24,26.29500008,26.37249947,26.13249969,26.30500031,23.33072662,188215600,0,0
2014/10/27,26.21249962,26.37000084,26.17499924,26.27750015,23.30633926,136750800,0,0
2014/10/28,26.35000038,26.68499947,26.33749962,26.68499947,23.66776085,192243600,0,0
2014/10/29,26.66250038,26.84250069,26.59000015,26.83499908,23.80080223,210751600,0,0
2014/10/30,26.73999977,26.83749962,26.47500038,26.74500084,23.7209816,162619200,0,0
2014/10/31,27.00250053,27.01000023,26.80249977,27,23.94714737,178557200,0,0
2014/11/3,27.05500031,27.57500076,27.00250053,27.35000038,24.25757217,209130400,0,0
2014/11/4,27.34000015,27.37249947,26.93000031,27.14999962,24.08019257,166297600,0,0
2014/11/5,27.27499962,27.32500076,27.03249931,27.21500015,24.13783836,149743600,0,0
2014/11/6,27.14999962,27.19750023,26.95000076,27.17499924,24.20686722,139874000,0.1175,0
2014/11/7,27.1875,27.32999992,27.13750076,27.25250053,24.2759037,134766000,0,0
2014/11/10,27.25499916,27.33250046,27.16749954,27.20750046,24.23582268,108782000,0,0
2014/11/11,27.17499924,27.4375,27.10000038,27.42499924,24.42956543,109769200,0,0
2014/11/12,27.34499931,27.85750008,27.34250069,27.8125,24.77474785,187769600,0,0
2014/11/13,27.95000076,28.36249924,27.89999962,28.20499992,25.12437439,238091600,0,0
2014/11/14,28.28750038,28.54750061,27.80249977,28.54500008,25.42723656,176254400,0,0
2014/11/17,28.56749916,29.31999969,28.32500076,28.49749947,25.38492584,186986800,0,0
2014/11/18,28.48500061,28.92250061,28.47249985,28.86750031,25.71451187,176896000,0,0
2014/11/19,28.86000061,28.93499947,28.45000076,28.66749954,25.53635788,167476800,0,0
2014/11/20,28.72750092,29.21500015,28.71249962,29.07749939,25.9015789,173582000,0,0
2014/11/21,29.37750053,29.39249992,29.00749969,29.11750031,25.93721199,228717200,0,0
2014/11/24,29.21249962,29.69249916,29.15500069,29.65749931,26.41822815,189803200,0,0
2014/11/25,29.76749992,29.9375,29.36249924,29.39999962,26.1888504,275361600,0,0
2014/11/26,29.48500061,29.77499962,29.45750046,29.75,26.50062943,163073200,0,0
2014/11/28,29.81749916,29.85000038,29.51250076,29.73250008,26.48503494,99257600,0,0
2014/12/1,29.70249939,29.8125,27.81749916,28.76749992,25.62543678,335256000,0,0
2014/12/2,28.375,28.9375,28.1875,28.65749931,25.52745247,237395600,0,0
2014/12/3,28.9375,29.08749962,28.77750015,28.98250008,25.81694794,172253600,0,0
2014/12/4,28.94249916,29.29999924,28.82250023,28.87249947,25.71896744,168178000,0,0
2014/12/5,28.99749947,29.02000046,28.65999985,28.75,25.60984612,153275600,0,0
2014/12/8,28.52499962,28.66250038,27.90500069,28.10000038,25.03085136,230659600,0,0
2014/12/9,27.54750061,28.57500076,27.33749962,28.53000069,25.41387558,240832000,0,0
2014/12/10,28.60250092,28.71249962,27.88500023,27.98749924,24.93062592,178261200,0,0
2014/12/11,28.06500053,28.45000076,27.83499908,27.90500069,24.85714531,165606800,0,0
2014/12/12,27.61499977,27.96750069,27.39500046,27.43250084,24.43625259,224112400,0,0
2014/12/15,27.67499924,27.89999962,26.58749962,27.05750084,24.10220528,268872400,0,0
2014/12/16,26.59250069,27.54000092,26.56500053,26.6875,23.77262115,243162800,0,0
2014/12/17,26.78000069,27.45999908,26.70499992,27.35250092,24.36498642,213647200,0,0
2014/12/18,27.96750069,28.16250038,27.66500092,28.16250038,25.08651543,236024800,0,0
2014/12/19,28.06500053,28.30999947,27.91500092,27.94499969,24.89276886,353719200,0,0
2014/12/22,28.04000092,28.37249947,27.99250031,28.23500061,25.15110016,180670000,0,0
2014/12/23,28.30750084,28.33250046,28.11499977,28.13500023,25.06201744,104113600,0,0
2014/12/24,28.14500046,28.17749977,28.00250053,28.00250053,24.94399261,57918400,0,0
2014/12/26,28.02499962,28.62999916,28.00250053,28.49749947,25.38492584,134884000,0,0
2014/12/29,28.44750023,28.69249916,28.42499924,28.47750092,25.36710548,110395600,0,0
2014/12/30,28.40999985,28.47999954,28.02750015,28.12999916,25.05756569,119526000,0,0
2014/12/31,28.20499992,28.28249931,27.55249977,27.59499931,24.58099937,165613600,0,0
2015/1/2,27.84749985,27.86000061,26.83749962,27.33250046,24.34716797,212818400,0,0
2015/1/5,27.07250023,27.16250038,26.35250092,26.5625,23.66127014,257142000,0,0
2015/1/6,26.63500023,26.85750008,26.15749931,26.56500053,23.66349792,263188400,0,0
2015/1/7,26.79999924,27.04999924,26.67499924,26.9375,23.99531937,160423600,0,0
2015/1/8,27.30750084,28.03750038,27.17499924,27.97249985,24.91727257,237458000,0,0
2015/1/9,28.16749954,28.3125,27.55249977,28.00250053,24.94399261,214798000,0,0
2015/1/12,28.14999962,28.15749931,27.20000076,27.3125,24.32935333,198603200,0,0
2015/1/13,27.85750008,28.20000076,27.22750092,27.55500031,24.54537392,268367600,0,0
2015/1/14,27.26000023,27.62249947,27.125,27.45000076,24.45184326,195826400,0,0
2015/1/15,27.5,27.51499939,26.66500092,26.70499992,23.7882061,240056000,0,0
2015/1/16,26.75749969,26.89500046,26.29999924,26.49749947,23.60337257,314053200,0,0
2015/1/20,26.95999908,27.24250031,26.625,27.18000031,24.21133232,199599600,0,0
2015/1/21,27.23749924,27.76499939,27.06749916,27.38750076,24.39616394,194303600,0,0
2015/1/22,27.56500053,28.11750031,27.43000031,28.10000038,25.03085136,215185600,0,0
2015/1/23,28.07500076,28.4375,27.88249969,28.24500084,25.16000557,185859200,0,0
2015/1/26,28.43499947,28.59000015,28.20000076,28.27499962,25.18672943,222460000,0,0
2015/1/27,28.10499954,28.12000084,27.25749969,27.28499985,24.30486488,382274800,0,0
2015/1/28,29.40749931,29.53000069,28.82749939,28.82749939,25.67889023,585908400,0,0
2015/1/29,29.07999992,29.79750061,28.88999939,29.72500038,26.47835922,337745600,0,0
2015/1/30,29.60000038,30,29.21249962,29.29000092,26.0908699,334982000,0,0
2015/2/2,29.51250076,29.79249954,29.02000046,29.65749931,26.41822815,250956400,0,0
2015/2/3,29.625,29.77249908,29.40250015,29.66250038,26.42269135,207662800,0,0
2015/2/4,29.625,30.12750053,29.57749939,29.88999939,26.62533569,280598800,0,0
2015/2/5,30.00499916,30.05750084,29.8125,29.98500061,26.81537247,168984800,0.1175,0
2015/2/6,30.00499916,30.0625,29.61249924,29.73250008,26.58956528,174826400,0,0
2015/2/9,29.63750076,29.95999908,29.60750008,29.93000031,26.76618767,155559200,0,0
2015/2/10,30.04249954,30.53750038,30.04000092,30.50499916,27.28040504,248034000,0,0
2015/2/11,30.69249916,31.22999954,30.625,31.21999931,27.91981888,294247200,0,0
2015/2/12,31.51499939,31.87000084,31.39249992,31.61499977,28.27306938,297898000,0,0
2015/2/13,31.81999969,31.81999969,31.41250038,31.77000046,28.41168785,217088800,0,0
2015/2/17,31.87249947,32.22000122,31.72999954,31.95750046,28.57936668,252609600,0,0
2015/2/18,31.90749931,32.19499969,31.86249924,32.18000031,28.77834511,179566800,0,0
2015/2/19,32.11999893,32.25749969,32.08250046,32.11249924,28.71797562,149449600,0,0
2015/2/20,32.15499878,32.375,32.01250076,32.375,28.95273399,195793600,0,0
2015/2/23,32.50500107,33.25,32.41500092,33.25,29.73523712,283896400,0,0
2015/2/24,33.23500061,33.40000153,32.79249954,33.04249954,29.54967117,276912400,0,0
2015/2/25,32.88999939,32.90000153,32.03749847,32.19749832,28.7939949,298846800,0,0
2015/2/26,32.19749832,32.71749878,31.65250015,32.60499954,29.15842247,365150000,0,0
2015/2/27,32.5,32.64250183,32.06000137,32.11500168,28.72021675,248059200,0,0
2015/3/2,32.3125,32.56999969,32.07500076,32.27249908,28.86106873,192386800,0,0
2015/3/3,32.24000168,32.38000107,32.02249908,32.34000015,28.9214344,151265200,0,0
2015/3/4,32.27500153,32.38999939,32.08000183,32.13499832,28.73810196,126665200,0,0
2015/3/5,32.14500046,32.1875,31.44000053,31.60250092,28.2618866,226068400,0,0
2015/3/6,32.09999847,32.34249878,31.56500053,31.64999962,28.30436897,291368400,0,0
2015/3/9,31.98999977,32.39250183,31.26499939,31.78499985,28.4250946,354114000,0,0
2015/3/10,31.60250092,31.80500031,30.95000076,31.12750053,27.83710861,275426400,0,0
2015/3/11,31.1875,31.19249916,30.52750015,30.55999947,27.32958794,275756000,0,0
2015/3/12,30.57749939,31.22500038,30.40749931,31.11249924,27.82369041,193450800,0,0
2015/3/13,31.10000038,31.35000038,30.64500046,30.89749908,27.63140488,207309200,0,0
2015/3/16,30.96999931,31.23749924,30.71750069,31.23749924,27.93546867,143497200,0,0
2015/3/17,31.47500038,31.82999992,31.41250038,31.76000023,28.40273476,204092400,0,0
2015/3/18,31.75,32.29000092,31.59250069,32.11750031,28.72245216,261083600,0,0
2015/3/19,32.1875,32.3125,31.85000038,31.875,28.50558662,183238000,0,0
2015/3/20,32.0625,32.09999847,31.29000092,31.47500038,28.1478653,274780400,0,0
2015/3/23,31.78000069,31.96249962,31.62999916,31.80249977,28.44074631,150838800,0,0
2015/3/24,31.80750084,32.00999832,31.63999939,31.67250061,28.32449532,131369200,0,0
2015/3/25,31.63500023,31.70499992,30.84499931,30.84499931,27.58446693,206620800,0,0
2015/3/26,30.69000053,31.21999931,30.64999962,31.05999947,27.77673531,190291600,0,0
